Subject	Method	Place	X	Y	Z
0	-1	1	0.0009400199999999859	0.0020698719999999865	0.014093134799999999
0	-1	2	0.24967094	0.102213902	0.017413564599999997
0	-1	0	0.74922556	0.007539119999999996	0.023492385799999998
0	-1	3	0.998729	0.09129946400000001	0.03270357459999999
0	0	0	0.0010108400000000128	0.009353058000000025	0.00536352702
0	0	1	0.24857976000000004	0.07946288199999998	0.014164925620000001
0	0	2	0.49817526	0.028232906000000016	0.020548432100000003
0	0	3	0.9956438999999999	0.063457214	0.0263387321
0	1	3	0.0279625	0.007836814000000011	0.048748872
0	1	2	0.45857477999999996	0.10647528	0.090466062
0	1	1	0.95520044	0.017765319999999987	0.1091527726
0	1	0	1.21396404	0.13158308	0.1384225566
0	2	1	0.005910940000000031	0.0117207	0.041292824
0	2	3	0.22867919999999997	0.13626416	0.10647609000000002
0	2	0	0.7525648400000002	0.254760724	0.12947890600000003
0	2	2	0.99814062	0.193309874	0.181831496
